title,actor,uc_parent_code,uc_parent_desc,uc_child_code,uc_child_desc
Visualizzazione dashboard traffico,Autorità locale,UC-6,Visualizzazione dashboard traffico,UC-6.1,Visualizzazione grafico time series traffico
Visualizzazione dashboard traffico,Autorità locale,UC-6,Visualizzazione dashboard traffico,UC-6.3,Visualizzazione panel numero veicoli in tempo reale
Visualizzazione dashboard traffico,Autorità locale,UC-6,Visualizzazione dashboard traffico,UC-6.4,Visualizzazione panel velocità media in tempo reale
Visualizzazione dashboard traffico,Autorità locale,UC-6,Visualizzazione dashboard traffico,UC-6.5,Visualizzazione panel calcolo ora di punta (numero veicoli e velocità media)

Visualizzazione dashboard colonnine di ricarica,Autorità locale,UC-7,Visualizzazione dashboard colonnine di ricarica,UC-7.2,Visualizzazione panel numero colonnine di ricarica per stato in tempo reale

Visualizzazione dashboard parcheggi,Autorità locale,UC-8,Visualizzazione dashboard parcheggi,UC-8.2,Visualizzazione panel con conteggio parcheggi per stato in tempo reale
Visualizzazione dashboard isole ecologiche,Autorità locale,UC-9,Visualizzazione dashboard isole ecologiche,UC-9.1,Visualizzazione panel con riempimento isole ecologiche in tempo reale
Visualizzazione dashboard livello di acqua,Autorità locale,UC-10,Visualizzazione dashboard livello di acqua,UC-10.1,Visualizzazione grafico time series livello di acqua
Visualizzazione dashboard livello di acqua,Autorità locale,UC-10,Visualizzazione dashboard livello di acqua,UC-10.3,Visualizzazione panel livello di acqua medio nel periodo di tempo selezionato
Visualizzazione dashboard livello di acqua,Autorità locale,UC-10,Visualizzazione dashboard livello di acqua,UC-10.4,Visualizzazione panel livello di acqua in tempo reale
Visualizzazione dashboard dati grezzi,Autorità locale,UC-1,Visualizzazione dashboard dati grezzi,UC-1.2,Visualizzazione mappa interattiva sensori
Visualizzazione dashboard temperatura,Autorità locale,UC-2,Visualizzazione dashboard temperatura,UC-2.2,Visualizzazione mappa sensori temperatura
Visualizzazione dashboard umidità,Autorità locale,UC-3,Visualizzazione dashboard umidità,UC-3.2,Visualizzazione mappa sensori umidità
Visualizzazione dashboard qualità dell'aria,Autorità locale,UC-4,Visualizzazione dashboard qualità dell'aria,UC-4.2,Visualizzazione mappa interattiva sensori qualità dell'aria
Visualizzazione dashboard precipitazioni,Autorità locale,UC-5,Visualizzazione dashboard precipitazioni,UC-5.2,Visualizzazione mappa sensori precipitazioni
Visualizzazione dashboard traffico,Autorità locale,UC-6,Visualizzazione dashboard traffico,UC-6.2,Visualizzazione mappa sensori traffico
Visualizzazione dashboard colonnine di ricarica,Autorità locale,UC-7,Visualizzazione dashboard colonnine di ricarica,UC-7.1,Visualizzazione mappa colonnine di ricarica con stato
Visualizzazione dashboard parcheggi,Autorità locale,UC-8,Visualizzazione dashboard parcheggi,UC-8.1,Visualizzazione mappa interattiva parcheggi con rispettivo stato di occupazione
Visualizzazione dashboard livello di acqua,Autorità locale,UC-10,Visualizzazione dashboard livello di acqua,UC-10.2,Visualizzazione mappa sensori livello di acqua
Visualizzazione dashboard livello di acqua,Autorità locale,UC-9,Visualizzazione dashboard isole ecologiche,UC-9.2,Visualizzazione mappa sensori isole ecologiche
Visualizzazione dashboard dati grezzi,Autorità locale,UC-9,Visualizzazione dashboard isole ecologiche,UC-9.3,Visualizzazione grafico time series isole ecologiche
Visualizzazione dashboard dati grezzi,Autorità locale,UC-9,Visualizzazione dashboard isole ecologiche,UC-9.4,Visualizzazione panel ore di saturazione isole ecologiche
Visualizzazione dashboard dati grezzi,Autorità locale,UC-9,Visualizzazione dashboard isole ecologiche,UC-9.5,Visualizzazione panel percentuale media di riempimento al momento dello svuotamento
Visualizzazione dashboard dati grezzi,Autorità locale,UC-9,Visualizzazione dashboard isole ecologiche,UC-9.6,Visualizzazione panel percentuale tempo trascorso per livello di riempimento

Applicazione filtro,Autorità locale,UC-21,Applicazione filtro,UC-21.1,Applicazione filtro per tipo di sensore
Applicazione filtro,Autorità locale,UC-21,Applicazione filtro,UC-21.2,Applicazione filtro per nome sensore
Applicazione filtro,Autorità locale,UC-21,Applicazione filtro,UC-21.3,Applicazione filtro temporale

Ricezione notifiche superamento soglie,Autorità locale,UC-22,Ricezione notifiche superamento soglie,UC-22.1,Ricezione notifiche superamento soglie di temperatura
Ricezione notifiche superamento soglie,Autorità locale,UC-22,Ricezione notifiche superamento soglie,UC-22.2,Ricezione notifiche superamento soglia di riempimento dell'isole ecologiche
